"BEG","SNAP_ID","SQL_ID","EXECUTIONS_DELTA","BUFFER_GETS_DELTA","DISK_READS_DELTA","ELAPSED_TIME_DELTA","ROWS_PROCESSED_DELTA","AVGBG","AVGPR","AVGELAPSED",
"23/10/2023 16:00",3340,"4f43ch8kn749p",1054,2956823,1436858,54842249,6892,2805.334914611005692599620493358633776091,1363.24288425047438330170777988614800759,52032.4943074003795066413662239089184061,
"23/10/2023 16:00",3340,"4f43ch8kn749p",1124,3531293,1760993,56870213,8790,3141.719750889679715302491103202846975089,1566.719750889679715302491103202846975089,50596.2749110320284697508896797153024911,
"23/10/2023 16:00",3340,"4f43ch8kn749p",1054,2956823,1436858,54842249,6892,2805.334914611005692599620493358633776091,1363.24288425047438330170777988614800759,52032.4943074003795066413662239089184061,
"23/10/2023 16:00",3340,"4f43ch8kn749p",1124,3531293,1760993,56870213,8790,3141.719750889679715302491103202846975089,1566.719750889679715302491103202846975089,50596.2749110320284697508896797153024911,
"23/10/2023 16:55",3341,"4f43ch8kn749p",12846,41996616,20874708,945530457,17559,3269.236805231200373657169546940681924334,1624.996730499766464269033162073797290986,73605.048808967772069126576366184026156,
"23/10/2023 16:55",3341,"4f43ch8kn749p",17442,56998382,28645784,1319873814,23067,3267.881091617933723196881091617933723197,1642.345143905515422543286320376103657837,75672.1599587203302373581011351909184727,
"23/10/2023 16:55",3341,"4f43ch8kn749p",12846,41996616,20874708,945530457,17559,3269.236805231200373657169546940681924334,1624.996730499766464269033162073797290986,73605.048808967772069126576366184026156,
"23/10/2023 16:55",3341,"4f43ch8kn749p",17442,56998382,28645784,1319873814,23067,3267.881091617933723196881091617933723197,1642.345143905515422543286320376103657837,75672.1599587203302373581011351909184727,
"23/10/2023 17:28",3342,"4f43ch8kn749p",18490,62127015,33823214,2929503058,18529,3360.033261222282314764737696051919956733,1829.270632774472687939426717144402379665,158437.1583558680367766360194699837750135,
"23/10/2023 17:28",3342,"4f43ch8kn749p",22015,74948629,41140646,3476679234,20157,3404.434658187599364069952305246422893482,1868.755212355212355212355212355212355212,157923.1993640699523052464228934817170111,
"23/10/2023 17:28",3342,"4f43ch8kn749p",22015,74948629,41140646,3476679234,20157,3404.434658187599364069952305246422893482,1868.755212355212355212355212355212355212,157923.1993640699523052464228934817170111,
"23/10/2023 17:28",3342,"4f43ch8kn749p",18490,62127015,33823214,2929503058,18529,3360.033261222282314764737696051919956733,1829.270632774472687939426717144402379665,158437.1583558680367766360194699837750135,
"23/10/2023 17:47",3343,"4f43ch8kn749p",2977,10517575,5913026,497585776,3611,3532.944239166946590527376553577426939872,1986.236479677527712462210278804165267047,167143.3577426939872354719516291568693315,
"23/10/2023 17:47",3343,"4f43ch8kn749p",4456,14639740,7731861,841891203,5240,3285.399461400359066427289048473967684022,1735.157315978456014362657091561938958707,188934.2915170556552962298025134649910233,
"23/10/2023 17:47",3343,"4f43ch8kn749p",2977,10517575,5913026,497585776,3611,3532.944239166946590527376553577426939872,1986.236479677527712462210278804165267047,167143.3577426939872354719516291568693315,
"23/10/2023 17:47",3343,"4f43ch8kn749p",4456,14639740,7731861,841891203,5240,3285.399461400359066427289048473967684022,1735.157315978456014362657091561938958707,188934.2915170556552962298025134649910233,
"07/09/2023 15:15",5134,"4f43ch8kn749p",67,25217,256,1553609,6767,376.373134328358208955223880597014925373,3.8208955223880597014925373134328358209,23188.1940298507462686567164179104477612,
"07/09/2023 15:15",5134,"4f43ch8kn749p",67,25217,256,1553609,6767,376.373134328358208955223880597014925373,3.8208955223880597014925373134328358209,23188.1940298507462686567164179104477612,
"07/09/2023 15:15",5134,"4f43ch8kn749p",135,50445,627,2441876,13635,373.666666666666666666666666666666666667,4.64444444444444444444444444444444444444,18087.9703703703703703703703703703703704,
"07/09/2023 15:15",5134,"4f43ch8kn749p",135,50445,627,2441876,13635,373.666666666666666666666666666666666667,4.64444444444444444444444444444444444444,18087.9703703703703703703703703703703704,
"07/09/2023 15:30",5135,"4f43ch8kn749p",397,147287,0,9910096,40097,371,0,24962.458438287153652392947103274559194,
"07/09/2023 15:30",5135,"4f43ch8kn749p",461,171031,0,8912179,46561,371,0,19332.2754880694143167028199566160520607,
"07/09/2023 15:30",5135,"4f43ch8kn749p",461,171031,0,8912179,46561,371,0,19332.2754880694143167028199566160520607,
"07/09/2023 15:30",5135,"4f43ch8kn749p",397,147287,0,9910096,40097,371,0,24962.458438287153652392947103274559194,
"07/09/2023 16:16",5139,"4f43ch8kn749p",28,10388,0,427830,2828,371,0,15279.6428571428571428571428571428571429,
"07/09/2023 16:16",5139,"4f43ch8kn749p",30,11130,0,388211,3030,371,0,12940.3666666666666666666666666666666667,
"07/09/2023 16:16",5139,"4f43ch8kn749p",28,10388,0,427830,2828,371,0,15279.6428571428571428571428571428571429,
"07/09/2023 16:16",5139,"4f43ch8kn749p",30,11130,0,388211,3030,371,0,12940.3666666666666666666666666666666667,
"08/09/2023 12:15",5219,"4f43ch8kn749p",296,109816,0,5867866,29896,371,0,19823.8716216216216216216216216216216216,
"08/09/2023 12:15",5219,"4f43ch8kn749p",344,127624,0,5379526,34744,371,0,15638.156976744186046511627906976744186,
"08/09/2023 12:15",5219,"4f43ch8kn749p",296,109816,0,5867866,29896,371,0,19823.8716216216216216216216216216216216,
"08/09/2023 12:15",5219,"4f43ch8kn749p",344,127624,0,5379526,34744,371,0,15638.156976744186046511627906976744186,
